author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
2.0,3.3,4.0,3.0,3490.0,1.0,23.0,2015
2.0,2.9,18.0,5.032,5540.0,1.0,25.16,2026
2.0,2.9,9.0,5.5280000000000005,7900.0,1.0,27.64,2015
2.0,3.7,15.0,7.359999999999999,3790.0,1.0,36.8,2025
4.0,3.7,11.0,3.4,6080.0,1.0,27.73,2028
2.0,2.5,4.0,5.2,4850.0,1.0,27.7,2020
2.0,3.3,13.0,5.0,3800.0,1.0,27.9,2017
4.0,2.9,2.0,5.0,5928.0,1.0,27.7,2026
2.0,4.0,15.0,8.0,5550.0,1.0,25.0,2011
5.0,2.9,16.0,6.0,4500.0,1.0,25.8,2006
4.0,3.8,28.0,9.114,11440.0,1.0,45.57,2027
2.0,2.5,8.0,8.0,4550.0,1.0,25.3,2018
4.0,3.7,18.0,3.4,4950.0,1.0,27.27,2028
2.0,3.3,5.0,5.0,4600.0,1.0,29.5,2017
4.0,3.3,6.0,5.2,4580.0,1.0,29.3,2025
2.0,4.2,20.0,12.3,5000.0,1.0,30.7,2016
2.0,3.3,1.0,4.0,5200.0,1.0,28.0,2017
2.0,2.5,10.0,5.378,4625.0,1.0,26.89,2026
2.0,4.0,23.0,3.0,5250.0,1.0,28.0,2025
2.0,2.5,4.0,10.0,6600.0,1.0,35.1,2019
4.0,3.8,18.0,2.0,4735.0,1.0,20.15,2026
5.0,2.5,13.0,6.0,7400.0,1.0,42.0,2027
5.0,3.8,2.0,10.0,15975.0,1.0,52.6,2023
4.0,3.8,27.0,8.872,11200.0,1.0,44.36,2027
2.0,3.7,3.0,2.6999999999999993,1700.0,1.0,12.7,1973
2.0,3.7,3.0,2.0,1200.0,1.0,8.1,2017
4.0,4.0,16.0,4.3,18650.0,1.0,96.9,2028
2.0,3.7,2.0,2.0,1450.0,1.0,14.0,2017
4.0,3.4,10.0,5.188000000000001,5800.0,1.0,25.94,2027
4.0,4.0,3.0,5.6,6300.0,1.0,34.9,2025
2.0,4.4,11.0,5.0,2000.0,1.0,18.2,2010
4.0,3.7,5.0,13.8,7110.0,1.0,46.57,2026
2.0,4.0,1.0,4.0,2350.0,1.0,15.0,1964
4.0,3.7,3.0,5.0,4400.0,1.0,26.3,2025
2.0,2.9,6.0,3.0,4499.0,1.0,26.6,2015
4.0,4.0,23.0,7.1,20200.0,1.0,112.3,2028
2.0,4.0,6.0,4.960000000000001,3600.0,1.0,24.8,2022
2.0,4.4,13.0,3.0,4100.0,1.0,27.7,2016
4.0,2.9,8.0,5.0,6355.0,1.0,30.2,2026
4.0,3.7,16.0,5.0,4750.0,1.0,29.0,2028
2.0,3.3,10.0,4.0,3550.0,1.0,23.3,2010
2.0,4.0,11.0,5.0,4600.0,1.0,27.0,2014
4.0,3.4,3.0,4.4,6300.0,1.0,46.5,2027
2.0,4.0,18.0,4.0,5390.0,1.0,34.0,2025
4.0,2.9,1.0,5.0,6150.0,1.0,30.6,2026
2.0,2.9,9.0,5.0,3350.0,1.0,27.0,2025
4.0,3.7,2.0,5.6,4250.0,1.0,27.6,2028
2.0,3.7,1.0,7.8,3480.0,1.0,37.8,2017
2.0,4.4,2.0,4.920000000000001,3500.0,1.0,24.6,2013
4.0,3.9,16.0,6.0600000000000005,7800.0,1.0,30.3,2024
2.0,3.7,6.0,3.5,3400.0,1.0,20.2,2024
2.0,3.3,5.0,5.0,4050.0,1.0,29.3,2025
4.0,3.7,9.0,4.9,4450.0,1.0,27.2,2028
2.0,2.5,6.0,3.0,4800.0,1.0,21.36,2020
4.0,2.5,4.0,5.0,5360.0,1.0,20.67,2028
2.0,2.5,6.0,4.4,3100.0,1.0,39.0,2024
2.0,2.5,13.0,5.506,4707.0,1.0,27.53,2026
4.0,3.4,4.0,17.72,5817.0,1.0,30.62,2026
4.0,2.9,11.0,5.0,6296.0,1.0,29.1,2026
2.0,3.9,13.0,4.0,5096.0,1.0,24.8,2016
2.0,4.2,1.0,3.0,2650.0,1.0,28.7,1994
4.0,3.8,23.0,5.04,6800.0,1.0,25.2,2022
4.0,3.7,5.0,13.8,8510.0,1.0,46.57,2026
2.0,2.9,2.0,4.999999999999999,2400.0,1.0,11.7,2015
4.0,3.7,1.0,4.0,4990.0,1.0,29.0,2025
2.0,2.5,9.0,10.0,3550.0,1.0,32.4,2012
2.0,2.5,21.0,5.682,4602.0,1.0,28.41,2025
2.0,2.5,3.0,6.800000000000001,3000.0,1.0,34.0,2024
4.0,2.9,1.0,5.0,6796.0,1.0,34.1,2026
2.0,4.0,8.0,4.44,5300.0,1.0,22.2,2023
4.0,3.8,21.0,5.84,7600.0,1.0,29.2,2022
4.0,2.5,10.0,5.0,6820.0,1.0,32.88,2028
2.0,3.8,2.0,5.8,4300.0,1.0,34.1,1933
4.0,3.7,6.0,4.3,4500.0,1.0,25.3,2025
4.0,2.5,9.0,5.0,7090.0,1.0,35.74,2028
2.0,2.5,9.0,6.800000000000001,2600.0,1.0,34.0,2020
4.0,3.9,18.0,5.82,8200.0,1.0,29.1,2024
2.0,3.7,1.0,4.0,3000.0,1.0,28.8,2017
4.0,3.8,29.0,6.5,9960.0,1.0,45.1,2026
2.0,2.9,5.0,9.8,3200.0,1.0,22.0,2021
4.0,2.5,2.0,5.0,5900.0,1.0,24.39,2028
2.0,3.7,18.0,6.0200000000000005,4300.0,1.0,30.1,2015
2.0,2.9,2.0,4.8,4600.0,1.0,28.11,2026
4.0,2.9,16.0,5.0,6352.0,1.0,27.7,2026
2.0,2.9,8.0,6.4,4000.0,1.0,32.0,2015
4.0,4.4,1.0,5.0,3887.0,1.0,21.4,2026
2.0,2.5,5.0,5.0,3260.0,1.0,33.0,2011
4.0,3.4,15.0,14.55,5649.0,1.0,26.75,2026
4.0,2.9,3.0,5.3580000000000005,3873.0,1.0,26.79,2025
4.0,2.5,9.0,5.2,5650.0,1.0,25.9,2026
2.0,2.9,4.0,4.600000000000001,2700.0,1.0,21.0,2016
4.0,2.5,2.0,5.0,5310.0,1.0,21.55,2028
2.0,3.7,10.0,3.0,4250.0,1.0,24.0,2012
4.0,3.3,12.0,5.1,3881.0,1.0,24.8,2027
2.0,3.4,9.0,4.0,4000.0,1.0,27.9,2019
2.0,4.4,4.0,5.0,4200.0,1.0,30.0,2013
4.0,3.8,22.0,5.18,7000.0,1.0,25.9,2022
2.0,3.3,4.0,6.5,3300.0,1.0,20.0,2011
2.0,2.5,8.0,5.772,4992.0,1.0,28.86,2026
2.0,2.9,5.0,3.0,2350.0,1.0,15.0,2015
4.0,3.4,14.0,5.0,4550.0,1.0,25.2,2027
2.0,2.5,7.0,5.1,3500.0,1.0,25.4,2009
2.0,2.9,16.0,4.0,3500.0,1.0,19.5,2023
4.0,3.9,19.0,6.800000000000001,9000.0,1.0,34.0,2024
2.0,4.0,4.0,3.0,4000.0,1.0,25.0,2022
2.0,3.7,2.0,3.0,2600.0,1.0,23.6,2017
4.0,4.0,17.0,5.84,4750.0,1.0,29.2,2010
2.0,3.7,1.0,5.0,2390.0,1.0,34.2,2017
2.0,2.9,4.0,10.0,3170.0,1.0,25.7,2015
4.0,2.5,2.0,4.9,4149.0,1.0,24.5,2026
2.0,3.3,4.0,5.0,5490.0,1.0,28.0,2017
2.0,3.7,2.0,5.0,3080.0,1.0,33.6,2016
2.0,2.5,3.0,5.702000000000001,4618.0,1.0,28.51,2025
2.0,4.0,7.0,5.1,4000.0,1.0,24.5,2022
2.0,2.5,3.0,5.0,5000.0,1.0,29.0,2026
4.0,2.5,3.0,4.7,4193.0,1.0,23.5,2026
