author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,total_meters,year_of_construction
4.0,4.0,13.0,23.0,5.074000000000001,20.296000000000003,3627.0,1.0,25.37,2026
5.0,3.7,8.0,17.0,5.0,16.0,2650.0,1.0,21.0,2016
2.0,3.7,3.0,3.0,4.0,20.0,2400.0,1.0,28.7,2017
4.0,3.3,1.0,23.0,5.420000000000001,21.680000000000003,4745.0,1.0,27.1,2027
2.0,3.3,12.0,19.0,3.0,16.0,5800.0,1.0,32.0,2023
2.0,2.9,2.0,3.0,2.0,10.0,1790.0,1.0,12.0,1937
4.0,4.0,7.0,9.0,4.14,16.56,4010.0,1.0,20.7,2028
2.0,3.4,8.0,29.0,3.0,16.0,5800.0,1.0,27.5,2025
2.0,4.0,7.0,9.0,3.6,14.4,2600.0,1.0,18.0,2022
4.0,4.0,4.0,23.0,5.242000000000001,20.968000000000004,4324.0,1.0,26.21,2026
2.0,3.3,8.0,17.0,4.0,15.0,3850.0,1.0,27.4,2015
5.0,4.4,15.0,18.0,0.0,19.7,2350.0,1.0,19.7,2011
4.0,3.4,5.0,9.0,5.510000000000001,22.040000000000003,7960.0,1.0,27.55,2028
2.0,2.5,13.0,17.0,4.0,16.3,4590.0,1.0,25.3,2021
2.0,3.4,1.0,3.0,3.0,15.0,2650.0,1.0,19.0,1947
4.0,3.3,16.0,23.0,5.1000000000000005,20.400000000000002,4513.0,1.0,25.5,2027
2.0,3.4,1.0,16.0,3.0,14.4,3400.0,1.0,22.4,2019
2.0,4.4,17.0,17.0,3.84,15.36,2070.0,1.0,19.2,2013
4.0,3.4,6.0,14.0,4.658,18.632,6970.0,1.0,23.29,2028
2.0,3.3,2.0,12.0,5.0,13.4,3990.0,1.0,27.8,2024
2.0,4.4,2.0,17.0,3.0,11.2,2000.0,1.0,19.2,2013
4.0,3.3,11.0,23.0,5.0600000000000005,20.240000000000002,4554.0,1.0,25.3,2027
2.0,3.3,17.0,20.0,3.0,17.0,5100.0,1.0,29.0,2017
5.0,2.9,8.0,13.0,5.0,18.0,4500.0,1.0,25.8,2011
4.0,4.0,9.0,24.0,2.3,11.8,5950.0,1.0,27.3,2028
2.0,3.3,19.0,19.0,5.0,17.0,4790.0,1.0,30.9,2016
2.0,3.3,2.0,4.0,4.399999999999999,20.0,2226.0,1.0,24.4,2024
4.0,3.4,7.0,9.0,5.0,13.3,7550.0,1.0,31.71,2028
2.0,2.5,10.0,17.0,6.5,17.5,5050.0,1.0,24.0,2024
2.0,3.8,1.0,5.0,2.0,12.0,2550.0,1.0,14.0,1960
4.0,3.3,3.0,23.0,5.640000000000001,22.560000000000002,5076.0,1.0,28.2,2027
2.0,4.4,6.0,17.0,5.0,13.4,4250.0,1.0,23.4,2020
2.0,3.7,4.0,17.0,4.0,10.7,2400.0,1.0,19.7,2012
4.0,4.0,9.0,9.0,6.720000000000001,26.880000000000003,7640.0,1.0,33.6,2028
2.0,2.9,11.0,25.0,5.0,22.0,6700.0,1.0,36.0,2020
2.0,3.7,1.0,3.0,1.0,21.8,2150.0,1.0,25.1,2013
4.0,3.4,9.0,14.0,5.0,10.0,7760.0,1.0,26.84,2028
2.0,3.8,10.0,20.0,5.0,20.1,7000.0,1.0,30.1,2007
2.0,3.7,2.0,3.0,5.0,14.9,2200.0,1.0,24.9,2017
4.0,3.9,18.0,24.0,43.2,56.2,16360.0,1.0,99.4,2025
2.0,3.4,13.0,17.0,5.0,14.6,6190.0,1.0,24.6,2024
2.0,2.9,2.0,3.0,2.0,12.0,2350.0,1.0,18.0,1937
4.0,2.9,27.0,30.0,8.5,14.7,6203.0,1.0,23.2,2026
2.0,4.0,7.0,25.0,3.5,8.1,5900.0,1.0,21.3,2025
2.0,4.4,8.0,18.0,4.0,17.2,2400.0,1.0,21.2,2012
4.0,3.4,5.0,9.0,10.0,11.4,9340.0,1.0,33.49,2028
2.0,3.7,3.0,3.0,5.0,17.8,2490.0,1.0,27.8,2017
2.0,2.9,3.0,17.0,5.0,10.9,2590.0,1.0,21.3,2023
4.0,4.0,6.0,29.0,5.1,18.5,9152.0,1.0,32.69,2026
2.0,3.7,10.0,10.0,4.4,33.800000000000004,3800.0,1.0,38.2,2017
2.0,3.7,3.0,5.0,3.8000000000000003,15.200000000000001,1700.0,1.0,19.0,1975
4.0,2.5,11.0,17.0,5.0,5.5,4700.0,1.0,19.9,2026
2.0,4.2,4.0,5.0,3.6200000000000006,14.480000000000002,1850.0,1.0,18.1,1970
2.0,4.4,7.0,17.0,3.0,11.5,2300.0,1.0,19.5,2011
4.0,4.0,3.0,29.0,6.6,11.2,7341.0,1.0,25.2,2026
2.0,3.7,2.0,10.0,4.4,34.1,3400.0,1.0,38.5,2017
2.0,4.4,4.0,17.0,3.0,16.2,2100.0,1.0,19.2,2014
4.0,2.5,6.0,8.0,5.0,9.9,5830.0,1.0,24.2,2026
2.0,4.2,6.0,9.0,5.0,18.9,4500.0,1.0,23.9,2014
2.0,4.4,4.0,17.0,3.7,9.4,2200.0,1.0,20.2,2013
4.0,3.9,11.0,16.0,5.1,14.3,6850.0,1.0,28.17,2028
2.0,2.5,6.0,10.0,10.0,22.5,3450.0,1.0,32.5,2024
2.0,4.0,3.0,6.0,3.7200000000000006,14.880000000000003,4250.0,1.0,18.6,2024
4.0,3.4,8.0,29.0,5.48,21.92,5800.0,1.0,27.4,2025
2.0,3.7,3.0,17.0,5.0,14.0,3500.0,1.0,26.0,2025
2.0,4.4,15.0,19.0,6.100000000000001,12.0,2150.0,1.0,18.1,2013
4.0,3.9,10.0,24.0,5.1,14.1,6275.0,1.0,26.06,2028
2.0,3.7,1.0,3.0,4.0,18.0,2550.0,1.0,27.4,2017
2.0,3.7,1.0,17.0,5.0,13.0,2350.0,1.0,30.8,2014
4.0,2.9,7.0,14.0,11.490000000000002,16.7,6852.0,1.0,28.19,2026
2.0,2.9,7.0,18.0,1.8,10.4,2800.0,1.0,18.2,2024
2.0,2.9,6.0,16.0,5.0600000000000005,20.240000000000002,3100.0,1.0,25.3,2024
4.0,3.9,13.0,24.0,5.1,14.9,6600.0,1.0,31.67,2028
2.0,3.4,11.0,16.0,7.0,20.0,4250.0,1.0,30.7,2015
2.0,3.7,12.0,18.0,5.5200000000000005,22.080000000000002,2850.0,1.0,27.6,2013
4.0,3.4,8.0,9.0,10.0,11.4,8890.0,1.0,30.55,2028
2.0,3.7,1.0,3.0,4.0,14.5,2400.0,1.0,23.5,2017
2.0,4.4,2.0,17.0,8.600000000000001,10.5,2000.0,1.0,19.1,2013
4.0,4.0,4.0,29.0,5.6,16.6,11435.0,1.0,34.9,2026
2.0,4.4,1.0,17.0,11.2,9.0,3150.0,1.0,20.2,2013
2.0,2.5,5.0,10.0,7.804000000000001,31.216000000000005,2800.0,1.0,39.02,2025
4.0,2.5,9.0,9.0,7.4,15.5,9305.0,1.0,32.23,2027
2.0,2.5,3.0,10.0,6.6000000000000005,26.400000000000002,3400.0,1.0,33.0,2011
2.0,2.5,6.0,10.0,2.7,26.0,3550.0,1.0,39.0,2017
4.0,2.9,12.0,14.0,12.7,16.1,7303.0,1.0,28.8,2026
2.0,2.9,5.0,17.0,17.0,25.0,4500.0,1.0,47.0,2015
2.0,3.7,16.0,18.0,6.0,18.0,3950.0,1.0,24.0,2024
4.0,4.0,14.0,24.0,3.0,18.0,7350.0,1.0,32.3,2028
2.0,2.5,17.0,29.0,4.0,15.0,4500.0,1.0,28.97,2026
2.0,3.8,3.0,29.0,3.0,17.1,3990.0,1.0,20.22,2026
4.0,3.4,2.0,25.0,5.922000000000001,23.688000000000002,6084.0,1.0,29.61,2027
2.0,2.9,10.0,27.0,15.0,20.0,4600.0,1.0,41.0,2016
2.0,3.7,15.0,17.0,6.6,21.7,4000.0,1.0,38.4,2017
2.0,2.9,8.0,15.0,5.6,13.1,5390.0,1.0,26.7,2027
2.0,4.0,6.0,18.0,4.0,23.63,4850.0,1.0,27.63,2022
2.0,2.5,1.0,10.0,6.0,14.6,4050.0,1.0,25.6,2011
4.0,2.9,20.0,30.0,10.839999999999998,14.9,6703.0,1.0,25.74,2026
2.0,4.0,7.0,10.0,10.0,13.0,4350.0,1.0,23.0,2021
2.0,4.0,17.0,23.0,10.0,15.370000000000001,4100.0,1.0,25.37,2025
4.0,2.9,8.0,15.0,5.0,12.7,5350.0,1.0,26.0,2027
2.0,2.9,2.0,15.0,5.6000000000000005,22.400000000000002,7300.0,1.0,28.0,2026
2.0,3.7,2.0,10.0,10.0,30.0,4150.0,1.0,40.0,2017
4.0,4.0,22.0,29.0,7.3,13.1,7941.0,1.0,27.47,2026
2.0,2.5,12.0,25.0,6.0,24.48,7500.0,1.0,30.48,2024
2.0,2.9,17.0,17.0,4.0,17.0,4300.0,1.0,30.0,2017
4.0,3.7,18.0,26.0,3.4,14.6,5270.0,1.0,27.27,2026
2.0,3.7,2.0,3.0,9.0,27.0,4700.0,1.0,36.0,2013
4.0,3.7,12.0,26.0,3.4,14.6,5400.0,1.0,27.73,2026
2.0,2.5,6.0,10.0,8.5,45.0,4500.0,1.0,58.5,2024
2.0,2.5,14.0,17.0,10.0,11.100000000000001,4900.0,1.0,21.1,2024
4.0,3.9,5.0,16.0,41.099999999999994,42.0,14670.0,1.0,83.1,2025
5.0,3.4,26.0,30.0,3.6,14.7,6000.0,1.0,27.0,2019
4.0,3.4,3.0,29.0,5.5,22.0,5500.0,1.0,27.5,2025
4.0,4.0,16.0,29.0,5.1,18.6,9117.0,1.0,29.98,2026
5.0,3.3,4.0,5.0,3.5200000000000005,14.080000000000002,2359.0,1.0,17.6,2017
4.0,4.0,20.0,20.0,7.8,14.0,9900.0,1.0,33.9,2026
2.0,2.5,5.0,10.0,6.0,20.0,3650.0,1.0,36.7,2020
2.0,4.4,2.0,17.0,5.0,8.4,2400.0,1.0,18.4,2013
4.0,3.8,11.0,29.0,2.0,14.0,5640.0,1.0,20.97,2026
2.0,4.0,13.0,21.0,5.0,20.0,6500.0,1.0,30.0,2022
2.0,2.9,6.0,10.0,5.0,12.0,2750.0,1.0,26.8,2015
4.0,3.9,24.0,24.0,12.699999999999996,21.6,8350.0,1.0,34.3,2025
2.0,4.0,20.0,25.0,4.0,15.0,5200.0,1.0,26.9,2023
2.0,3.3,2.0,3.0,5.0,19.0,2845.0,1.0,24.3,1968
4.0,3.7,13.0,26.0,3.4,14.6,5370.0,1.0,27.73,2026
2.0,3.9,22.0,25.0,4.0,17.0,4980.0,1.0,23.7,2019
2.0,3.3,4.0,17.0,3.0,14.0,3490.0,1.0,23.0,2015
2.0,2.9,18.0,18.0,5.032,20.128,5540.0,1.0,25.16,2026
2.0,2.9,9.0,15.0,5.5280000000000005,22.112000000000002,7900.0,1.0,27.64,2015
2.0,3.7,15.0,17.0,7.359999999999999,29.439999999999998,3790.0,1.0,36.8,2025
4.0,3.7,11.0,26.0,3.4,14.6,6080.0,1.0,27.73,2028
2.0,2.5,4.0,20.0,5.2,10.2,4850.0,1.0,27.7,2020
2.0,3.3,13.0,16.0,5.0,8.6,3800.0,1.0,27.9,2017
4.0,2.9,2.0,15.0,5.0,11.9,5928.0,1.0,27.7,2026
2.0,4.0,15.0,19.0,8.0,11.0,5550.0,1.0,25.0,2011
5.0,2.9,16.0,16.0,6.0,18.0,4500.0,1.0,25.8,2006
4.0,3.8,28.0,30.0,9.114,36.456,11440.0,1.0,45.57,2027
2.0,2.5,8.0,19.0,8.0,17.3,4550.0,1.0,25.3,2018
4.0,3.7,18.0,26.0,3.4,14.6,4950.0,1.0,27.27,2028
2.0,3.3,5.0,23.0,5.0,13.0,4600.0,1.0,29.5,2017
4.0,3.3,6.0,21.0,5.2,15.4,4580.0,1.0,29.3,2025
2.0,4.2,20.0,21.0,12.3,18.4,5000.0,1.0,30.7,2016
2.0,3.3,1.0,9.0,4.0,14.0,5200.0,1.0,28.0,2017
2.0,2.5,10.0,25.0,5.378,21.512,4625.0,1.0,26.89,2026
2.0,4.0,23.0,26.0,3.0,17.0,5250.0,1.0,28.0,2025
2.0,2.5,4.0,25.0,10.0,13.9,6600.0,1.0,35.1,2019
4.0,3.8,18.0,29.0,2.0,13.1,4735.0,1.0,20.15,2026
5.0,2.5,13.0,26.0,6.0,27.0,7400.0,1.0,42.0,2027
